treatment,bacteria,soil,replicate,nodes,mass_mg
N_Sa,No,Sand,1,0,15
N_Sa,No,Sand,2,0,11
N_Sa,No,Sand,3,0,10
N_Sa,No,Sand,4,0,11
N_Sa,No,Sand,5,0,11
N_Sa,No,Sand,6,0,14
N_Sa,No,Sand,7,0,12
N_Sa,No,Sand,8,0,12
N_Sa,No,Sand,9,0,11
N_Sa,No,Sand,10,0,10
N_Sa,No,Sand,11,0,18
N_Sa,No,Sand,12,0,13
N_Sa,No,Sand,13,0,13
N_Sa,No,Sand,14,0,10
N_Sa,No,Sand,15,0,15
N_Sa,No,Sand,16,0,13
N_Sa,No,Sand,17,0,13
N_Sa,No,Sand,18,0,13
N_Sa,No,Sand,19,0,15
N_Sa,No,Sand,20,0,15
N_Sa,No,Sand,21,0,8
N_Sa,No,Sand,22,0,14
N_Sa,No,Sand,23,0,13
N_Sa,No,Sand,24,0,14
N_Sa,No,Sand,25,0,13
N_Sa,No,Sand,26,0,13
N_Sa,No,Sand,27,0,16
N_Sa,No,Sand,28,0,5
N_Sa,No,Sand,29,0,7
N_Sa,No,Sand,30,0,17
N_Sa,No,Sand,31,2,16
N_Sa,No,Sand,32,0,17
N_Sa,No,Sand,33,1,8
N_Sa,No,Sand,34,0,17
N_Sa,No,Sand,35,0,14
N_Sa,No,Sand,36,0,15
N_Sa,No,Sand,37,0,14
N_Sa,No,Sand,38,0,13
N_Sa,No,Sand,39,0,19
N_Sa,No,Sand,40,0,17
N_Sa,No,Sand,41,0,16
N_Sa,No,Sand,42,0,14
N_Sa,No,Sand,43,0,14
N_Sa,No,Sand,44,0,16
N_Sa,No,Sand,45,0,15
N_Sa,No,Sand,46,0,9
N_Sa,No,Sand,47,0,21
N_Sa,No,Sand,48,0,7
N_Sa,No,Sand,49,0,14
N_Sa,No,Sand,50,0,13
N_Sa,No,Sand,51,0,17
N_Sa,No,Sand,52,0,21
N_Sa,No,Sand,53,0,19
N_Sa,No,Sand,54,0,10
N_Sa,No,Sand,55,3,16
N_Sa,No,Sand,56,0,14
N_Sa,No,Sand,57,0,14
N_Sa,No,Sand,58,0,6
N_Sa,No,Sand,59,0,13
N_Sa,No,Sand,60,0,10
N_Sa,No,Sand,61,0,12
N_Sa,No,Sand,62,0,16
N_Sa,No,Sand,63,0,17
N_Sa,No,Sand,64,0,14
N_Sa,No,Sand,65,0,11
N_Sa,No,Sand,66,0,14
N_Sa,No,Sand,67,0,20
N_Sa,No,Sand,68,0,10
N_Sa,No,Sand,69,0,10
N_Sa,No,Sand,70,0,20
N_Sa,No,Sand,71,0,10
N_Sa,No,Sand,72,0,15
N_Te,No,Terrain,1,2,22
N_Te,No,Terrain,2,0,24
N_Te,No,Terrain,3,0,22
N_Te,No,Terrain,4,0,22
N_Te,No,Terrain,5,0,21
N_Te,No,Terrain,6,0,19
N_Te,No,Terrain,7,0,23
N_Te,No,Terrain,8,0,22
N_Te,No,Terrain,9,0,22
N_Te,No,Terrain,10,0,23
N_Te,No,Terrain,11,0,16
N_Te,No,Terrain,12,0,29
N_Te,No,Terrain,13,0,21
N_Te,No,Terrain,14,0,19
N_Te,No,Terrain,15,0,19
N_Te,No,Terrain,16,0,24
N_Te,No,Terrain,17,0,25
N_Te,No,Terrain,18,0,23
N_Te,No,Terrain,19,0,21
N_Te,No,Terrain,20,2,14
N_Te,No,Terrain,21,0,20
N_Te,No,Terrain,22,0,21
N_Te,No,Terrain,23,0,23
N_Te,No,Terrain,24,0,18
N_Te,No,Terrain,25,0,23
N_Te,No,Terrain,26,0,21
N_Te,No,Terrain,27,2,17
N_Te,No,Terrain,28,0,20
N_Te,No,Terrain,29,0,22
N_Te,No,Terrain,30,2,17
N_Te,No,Terrain,31,0,27
N_Te,No,Terrain,32,0,19
N_Te,No,Terrain,33,0,21
N_Te,No,Terrain,34,1,29
N_Te,No,Terrain,35,0,21
N_Te,No,Terrain,36,0,20
N_Te,No,Terrain,37,0,18
N_Te,No,Terrain,38,0,18
N_Te,No,Terrain,39,0,13
N_Te,No,Terrain,40,2,16
N_Te,No,Terrain,41,0,22
N_Te,No,Terrain,42,0,22
N_Te,No,Terrain,43,0,22
N_Te,No,Terrain,44,0,20
N_Te,No,Terrain,45,1,20
N_Te,No,Terrain,46,0,21
N_Te,No,Terrain,47,2,20
N_Te,No,Terrain,48,1,21
N_Te,No,Terrain,49,0,29
N_Te,No,Terrain,50,0,24
N_Te,No,Terrain,51,0,18
N_Te,No,Terrain,52,0,15
N_Te,No,Terrain,53,7,22
N_Te,No,Terrain,54,2,27
N_Te,No,Terrain,55,0,12
N_Te,No,Terrain,56,2,21
N_Te,No,Terrain,57,7,25
N_Te,No,Terrain,58,0,20
N_Te,No,Terrain,59,1,21
N_Te,No,Terrain,60,0,29
N_Te,No,Terrain,61,0,20
N_Te,No,Terrain,62,0,23
N_Te,No,Terrain,63,0,20
N_Te,No,Terrain,64,0,13
N_Te,No,Terrain,65,0,18
N_Te,No,Terrain,66,0,20
N_Te,No,Terrain,67,0,18
N_Te,No,Terrain,68,1,18
N_Te,No,Terrain,69,0,18
N_Te,No,Terrain,70,0,20
N_Te,No,Terrain,71,0,25
N_Te,No,Terrain,72,0,21
N_Ma,No,Martian,1,0,7
N_Ma,No,Martian,2,0,6
N_Ma,No,Martian,3,0,5
N_Ma,No,Martian,4,1,11
N_Ma,No,Martian,5,2,13
N_Ma,No,Martian,6,0,9
N_Ma,No,Martian,7,0,7
N_Ma,No,Martian,8,0,10
